% Model:                
% Version:              COMSOL 4.1.0.88
% Date:                 Apr 19 2023, 14:40
% Dimension:            1
% Nodes:                368
% Expressions:          1
% Description:          Line graph
% cutx_                   Height
0                         0.09578779984027472
0.004702280957298358      0.09579100495555176
0.006745478333713408      0.09578747166798632
0.010040538131540312      0.09577548674391444
0.014766627278248597      0.09574474788337264
0.017683574133026708      0.09571780761032356
0.02031937301627847       0.0956845298285895
0.027589112195139095      0.09556879948697268
0.029533254556497184      0.09553189266784079
0.03462925109607729       0.09542322134083189
0.03629084456179486       0.09538327700308623
0.041306114499666494      0.09525277575128255
0.044539049676796526      0.09514771185961639
0.046985379358721636      0.09505909637579874
0.049017205596222704      0.09498447837366158
0.05071734789060002       0.09492094012704673
0.05818230991638634       0.09468280098426342
0.05945504680626234       0.09463894571822648
0.06303451008817243       0.09451052482845228
0.06929197782644703       0.09425712182456593
0.0710418269036394        0.09418277299969141
0.07161970409151298       0.09415788500841467
0.07414328203246978       0.09404725197377584
0.08165764424585865       0.09369905382666617
0.08698511920826572       0.09343516607556904
0.08855960553170435       0.09335447222011654
0.09121526176411032       0.09321557190299477
0.09180773199485838       0.09318292605531978
0.09283378240950176       0.09312609019121942
0.09320528836269305       0.09310541786975965
0.09573973062737438       0.0929630627413396
0.0970073287728033        0.09289099567072565
0.10084970062643778       0.09266900678984602
0.10426631311973686       0.09246714723258682
0.1051557405216264        0.09241390823458719
0.10693457508010226       0.09230657628402347
0.11001033346458128       0.09211902357742618
0.11575732119191648       0.09176102078625495
0.11918519963179276       0.0915427924454585
0.11926222725036852       0.09153804215376393
0.12171373536602498       0.09138589963848814
0.12590449273480442       0.0911215156727331
0.12987456916577927       0.09086604636691299
0.13113437832022873       0.09078396094441608
0.13328168577888977       0.0906543129654457
0.1356292845613642        0.09051109274119258
0.13744201814771523       0.09039944588920085
0.13865606241120124       0.09032415738097349
0.1469340459263489        0.08974660774315385
0.14742469726742113       0.08971185972794088
0.1509759898278038        0.0894699598215411
0.1528865775139613        0.08933812246788657
0.1554784726277923        0.08915396233375322
0.16558212148695356       0.08842080623796023
0.16734494219572627       0.08829039981734185
0.16876311334333433       0.08818495221165903
0.17051738679928785       0.08805385138162466
0.18135489481276257       0.08722769620127822
0.1843761225169199        0.08699226959151349
0.18475111245423892       0.08696289657397348
0.18499966820038916       0.08694340863787402
0.18504990609990898       0.08693946795652202
0.1854103483647194        0.08691117702248778
0.18577924904783918       0.08688275205048826
0.1858987177596615        0.08687354089709229
0.18646997008237776       0.08682619623924433
0.19657091502024174       0.08598597454331651
0.20158449914538934       0.08556677523576314
0.2049972693909195        0.08529361487970442
0.20588405639290494       0.08522232410167561
0.20800974065251476       0.08505091200677008
0.21162991661409264       0.08475728539046483
0.21462823649219182       0.08451247386143551
0.21653738894860572       0.08435582628131334
0.21675330715575014       0.08433807249008132
0.21980471414692468       0.08408635649639583
0.22703028136747055       0.08348423467937906
0.22868730627097006       0.08334320381210042
0.23052220228253759       0.08318646198623554
0.23285243760760327       0.08298654017611656
0.23730561179820017       0.0826214878066957
0.23746148078702717       0.08260868329453257
0.237762702171699         0.08258393301903162
0.2380659437742448        0.08255919187732266
0.24798984480851127       0.08173699135813388
0.2536156666012208        0.08123600930918161
0.2553741237972981        0.08107880780592053
0.25694758098963233       0.08093789850788884
0.26222892985052776       0.08046323197696187
0.26359369070408933       0.08034014657273919
0.27032915703247334       0.07973012325930494
0.271882830044882         0.07958880383438102
0.27646801489254424       0.07917042083867158
0.27661374218615675       0.07915709131255706
0.2830561662760691        0.0785658152559545
0.2859927478355567        0.07828340507196281
0.2870464643650745        0.07818271989289458
0.28705278958765923       0.07818211520439483
0.2870592292684167        0.07818156294584619
0.28830098932749865       0.07807501393586848
0.2902537958502627        0.0778903544325447
0.29189158403482035       0.07776279510818004
0.29940023134880495       0.07706261516767308
0.2996003733009557        0.07704389042178969
0.30198728885109516       0.07682033065158136
0.30285255848978915       0.07673917678508908
0.3037987420148696        0.07665036561118209
0.3062221069144848        0.07642257672483031
0.3078104892706436        0.07627301944659326
0.3130867568007897        0.0757747771947057
0.31388360195662635       0.07569933740756718
0.31917879472481214       0.07519673834443344
0.3194878573529265        0.07516724303541872
0.3208201280525872        0.07504002700083555
0.3260580605393162        0.07453874707006004
0.32701810007574833       0.07444651969249795
0.3303117875931112        0.07411244903478917
0.3312686357277195        0.07401460064470566
0.33672659731855137       0.07349163958329799
0.3378187693903896        0.07338757859098419
0.3487695386867162        0.07233978673979395
0.3497731073539724        0.07224387362414214
0.35329376054324213       0.07190682660862292
0.3538002645178696        0.07185826372301751
0.354349298727356         0.07180560232459943
0.3557754158595146        0.07166871329587564
0.3574429634784858        0.07150846509836215
0.366829338498632         0.07060273277570223
0.3679788166293736        0.07049138048346391
0.37339665522527044       0.06996729013325852
0.37340437431828677       0.06996654172678185
0.37361201680753675       0.06994640787876143
0.3788303557045028        0.06943926336367318
0.378933181832208         0.06942906223477253
0.38638867390884263       0.06868771128024076
0.391597246189876         0.06816778563560558
0.3920907639018098        0.06811880786954962
0.3929148701007331        0.0680369949054811
0.3954204978419165        0.06778804271917269
0.39698801642652737       0.06763214038655052
0.4011773185647685        0.0672148835622649
0.40545450557300733       0.06678797689519596
0.4071714810364845        0.06661635054234244
0.4075863842727367        0.06657485552574562
0.41115085463880624       0.06621801703210128
0.41250808674426154       0.06608316287421029
0.41332344703279444       0.06600215176981038
0.418844030033504         0.06545370364980235
0.42226448018737406       0.0651074880657879
0.4241070097706025        0.064919423621509
0.4309856798942168        0.06420764637240524
